family_income,gift_aid,price_paid
92.922,21.72,14.28
0.25,27.47,8.53
53.092,27.75,14.25
50.2,27.22,8.78
137.613,18,24
47.957,18.52,23.48
113.534,13,23
168.579,13,29
208.115,14,28
12.523,25.47,16.53
119.822,21,15
50.563,17.476,18.524
16.12,22.47,13.53
206.932,11,25
68.678,25.72,16.28
73.598,32.72,9.28
218.12,23,19
89.983,16,20
271.974,20,22
118.165,24,18
108.395,15.5,26.5
235.522,7,35
78.926,20,16
76.854,23.52,18.48
98.496,14,22
134.586,10,32
75.157,21.12,20.88
135.857,21,21
79.448,27.5,14.5
80.858,20.55,15.45
86.14,14.3,27.7
40.49,18.32,23.68
143.337,18,24
97.664,10,26
74.713,21,15
178.795,13.6,22.4
71.55,20.47,15.53
92.605,21,15
62.546,21.6,14.4
0,27.47,14.53
159.981,25.814,10.186
40.397,25.97,10.03
85.203,25.558,16.442
27.164,20.47,21.53
146.397,17,25
14.089,20.42,21.58
217.443,20,22
140.093,15,21
104.147,17.56,24.44
83.333,23.5,18.5
